PerCode,DwCode,Year,Estimate,SE,LowerCIB,UpperCIB
P001,D001A,2019,767.7,16.3,751.4,784
P001,D001B,2019,68.5,1,67.5,69.5
P001,D002A,2019,287.1,12.9,274.2,300
P001,D002B,2019,45.4,1.7,43.6,47.1
P001,D003A,2019,1055.7,17.2,1038.5,1072.9
P001,D003B,2019,60.2,1,59.2,61.1
P001,D004A,2019,178.2,8.9,169.4,187.1
P001,D004B,2019,50.8,2.1,48.7,52.9
P001,D005A,2019,195.2,8.3,186.9,203.5
P001,D005B,2019,55.6,1.9,53.7,57.4
P001,D006A,2019,186.7,10.3,176.4,197.1
P001,D006B,2019,53.1,1.9,51.3,55
P001,D007A,2019,217.8,8.9,209,226.7
P001,D007B,2019,62.2,2,60.2,64.2
P001,D008A,2019,277.7,11.1,266.6,288.8
P001,D008B,2019,79.1,1.8,77.3,80.8
P002,D001A,2019,353.5,11.3,342.2,364.9
P002,D001B,2019,31.5,1,30.5,32.5
P002,D002A,2019,345.8,13.4,332.4,359.1
P002,D002B,2019,54.6,1.7,52.9,56.4
P002,D003A,2019,699.4,17.2,682.2,716.6
P002,D003B,2019,39.8,1,38.9,40.8
P002,D004A,2019,172.6,9,163.6,181.6
P002,D004B,2019,49.2,2.1,47.1,51.3
P002,D005A,2019,156.1,7.8,148.3,164
P002,D005B,2019,44.4,1.9,42.6,46.3
P002,D006A,2019,164.8,8.3,156.5,173
P002,D006B,2019,46.9,1.9,45,48.7
P002,D007A,2019,132.4,9.3,123,141.7
P002,D007B,2019,37.8,2,35.8,39.8
P002,D008A,2019,73.5,6.2,67.3,79.8
P002,D008B,2019,20.9,1.8,19.2,22.7
P003,D001A,2019,258.5,8.9,249.6,267.3
P003,D001B,2019,23.1,0.8,22.3,23.8
P003,D002A,2019,270.5,12,258.5,282.5
P003,D002B,2019,42.7,1.6,41.1,44.3
P003,D003A,2019,529.1,13.7,515.4,542.8
P003,D003B,2019,30.1,0.8,29.4,30.9
P003,D004A,2019,150.1,8.3,141.8,158.3
P003,D004B,2019,42.8,2,40.8,44.7
P003,D005A,2019,135.9,7.2,128.7,143.1
P003,D005B,2019,38.7,1.7,37,40.4
P003,D006A,2019,121,7.2,113.9,128.2
P003,D006B,2019,34.4,1.8,32.6,36.2
