QuintCode,MsCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q001,M001A,54.1,10.3,48.5,59.7, 
Q002,M001A,43.7,11.4,38.7,48.6, 
Q003,M001A,53.7,8.9,48.9,58.5, 
Q004,M001A,84.1,7.2,78,90.2, 
Q005,M001A,162.7,6,153,172.5, 
Q006,M001A,398.3,3.4,384.8,411.8, 
Q001,M001B,176.5,5.4,167,186, 
Q002,M001B,136.6,5.6,128.9,144.3, 
Q003,M001B,161,6.1,151.2,170.9, 
Q004,M001B,180.8,5.5,170.8,190.7, 
Q005,M001B,169.7,5.6,160.2,179.1, 
Q006,M001B,824.6,2.1,807.3,841.8, 
Q001,M001C,162.7,5.4,154,171.4, 
Q002,M001C,129.1,6.5,120.6,137.5, 
Q003,M001C,114.2,6.7,106.5,121.8, 
Q004,M001C,82.2,8.3,75.4,89, 
Q005,M001C,54.1,10.1,48.7,59.6, 
Q006,M001C,542.3,2.7,527.7,556.8, 
Q001,M001D,88.3,6.7,82.3,94.2, 
Q002,M001D,64.5,8.7,58.9,70, 
Q003,M001D,28.9,14.5,24.7,33.1, 
Q004,M001D,22.1,16.4,18.4,25.7, 
Q005,M001D,10.2,27.8,7.3,13, 
Q006,M001D,213.9,4.6,204.1,223.7, 
Q001,M002A,133.2,6.5,124.6,141.9, 
Q002,M002A,110.1,7.3,102.1,118.2, 
Q003,M002A,88.5,8,81.5,95.6, 
Q004,M002A,68.5,9.7,61.9,75.2, 
Q005,M002A,50.1,11.1,44.6,55.6, 
Q006,M002A,450.5,3.4,435.1,466, 
Q001,M002B,82.3,8.3,75.4,89.1, 
Q002,M002B,68.5,8.7,62.5,74.4, 
Q003,M002B,78.1,8.4,71.5,84.6, 
Q004,M002B,76.5,8.2,70.3,82.8, 
Q005,M002B,79.1,7.5,73.2,85.1, 
Q006,M002B,384.5,3,373.1,395.9, 
Q001,M002C,113.7,6,106.8,120.5, 
Q002,M002C,91.9,6.8,85.6,98.2, 
Q003,M002C,94.3,8.7,86.1,102.5, 
Q004,M002C,115.8,6.7,108.1,123.5, 
Q005,M002C,130.4,6.9,121.4,139.4, 
Q006,M002C,546,2.8,531,561.1, 
Q001,M002D,50.4,11.1,44.8,56, 
Q002,M002D,40.3,11.9,35.5,45.1, 
Q003,M002D,43.3,11.3,38.4,48.2, 
Q004,M002D,51.6,10.3,46.3,56.9, 
Q005,M002D,69.3,9.7,62.5,76, 
Q006,M002D,254.8,4.8,242.6,266.9, 
Q001,M002E,97.2,6.6,90.8,103.6, 
Q002,M002E,60.6,9.1,55.1,66.2, 
Q003,M002E,53.6,9.7,48.4,58.8, 
Q004,M002E,55.4,8.5,50.7,60.1, 
Q005,M002E,66.8,8,61.5,72.1, 
Q006,M002E,333.7,3.6,321.8,345.5, 
Q001,M002F,9,5.2,8.5,9.5, 
Q002,M002F,8.2,4,7.9,8.6, 
Q003,M002F,7.8,2.8,7.5,8, 
Q004,M002F,8.2,3.1,8,8.5, 
Q005,M002F,8.4,3.4,8.1,8.6, 
Q006,M002F,8.4,2.2,8.2,8.5, 
Q001,M003A,418.9,2.9,406.6,431.2, 
Q002,M003A,328.8,3.3,318.1,339.5, 
Q003,M003A,338.1,4,324.5,351.6, 
Q004,M003A,360.2,3.1,349,371.3, 
Q005,M003A,394.4,3,382.7,406, 
Q006,M003A,1840.3,0.5,1831,1849.7, 
Q001,M003B,65.5,9.6,59.2,71.8, 
Q002,M003B,45.2,10.1,40.7,49.8, 
Q003,M003B,20.2,16.6,16.9,23.6, 
Q004,M003B,9.2,24.5,7,11.5, 
Q005,M003B,2.8,50.2,1.4,4.1, 
Q006,M003B,142.9,6,134.3,151.6, 
Q001,M004A,3.3,37,2.1,4.6, 
Q002,M004A,5.5,27.2,4,6.9, 
