StatCode,MsCode,year,Estimate,SE,LowerCIB,UpperCIB,Flag
Q1,M001,2024,23117,366,22751,23483, 
Q2,M001,2024,39058,182,38876,39240, 
Q3,M001,2024,53480,198,53283,53678, 
Q4,M001,2024,70152,229,69923,70380, 
Q5,M001,2024,119091,1949,117143,121040, 
Q6,M001,2024,60982,701,60281,61683, 
Q1,M001,2023,21786,321,21465,22107, 
Q2,M001,2023,36550,178,36372,36728, 
Q3,M001,2023,50194,206,49988,50400, 
Q4,M001,2023,66447,277,66170,66724, 
Q5,M001,2023,114112,2708,111404,116820, 
Q6,M001,2023,57795,804,56991,58599, 
Q1,M003,2024,1331,464,867,1795, 
Q2,M003,2024,2508,262,2246,2770, 
Q3,M003,2024,3287,293,2993,3580, 
Q4,M003,2024,3705,350,3355,4055, 
Q5,M003,2024,4979,3356,1623,8335, 
Q6,M003,2024,3187,1015,2172,4201, 
Q1,M002,2024,26107,220,25887,26327, 
Q2,M002,2024,38987,319,38667,39306, 
Q3,M002,2024,53435,356,53079,53791, 
Q4,M002,2024,69609,412,69197,70022, 
Q5,M002,2024,101454,1358,100096,102812, 
Q6,M002,2024,53428,667,52761,54095, 
Q1,M002,2023,24449,202,24247,24651, 
Q2,M002,2023,36339,376,35963,36715, 
Q3,M002,2023,50351,486,49865,50838, 
Q4,M002,2023,66056,491,65564,66547, 
Q5,M002,2023,96661,1781,94880,98443, 
Q6,M002,2023,50383,826,49558,51209, 
Q1,M004,2024,1658,299,1359,1957, 
Q2,M004,2024,2648,493,2154,3141, 
Q3,M004,2024,3084,603,2481,3687, 
Q4,M004,2024,3554,641,2912,4195, 
Q5,M004,2024,4792,2240,2553,7032, 
Q6,M004,2024,3045,1062,1983,4106, 
P1,M005,2024,26133,283,25850,26416, 
P2,M005,2024,32243,462,31781,32705, 
P3,M005,2024,39042,613,38429,39655, 
P4,M005,2024,45971,616,45355,46587, 
P5,M005,2024,53428,667,52761,54095, 
P6,M005,2024,61058,636,60421,61694, 
P7,M005,2024,69571,788,68784,70359, 
P8,M005,2024,80964,840,80124,81804, 
P9,M005,2024,101454,1572,99882,103026, 
P1,M005,2023,24449,252,24197,24701, 
P2,M005,2023,30058,605,29453,30662, 
P3,M005,2023,36339,671,35668,37010, 
P4,M005,2023,43222,678,42544,43900, 
P5,M005,2023,50383,826,49558,51209, 
P6,M005,2023,57292,755,56537,58047, 
P7,M005,2023,66045,881,65163,66926, 
P8,M005,2023,76764,1082,75682,77846, 
P9,M005,2023,96598,2416,94183,99014, 
P1,M006,2024,1684,36,1648,1720, 
P2,M006,2024,2185,46,2139,2232, 
P3,M006,2024,2703,87,2616,2791, 
P4,M006,2024,2749,82,2667,2830, 
P5,M006,2024,3045,96,2949,3141, 
P6,M006,2024,3765,84,3681,3850, 
P7,M006,2024,3526,109,3418,3635, 
P8,M006,2024,4200,146,4055,4346, 
P9,M006,2024,4855,261,4594,5117, 
Q1,M007,2024,7.5,0.3,7.2,7.9, 
Q2,M007,2024,12.9,0.5,12.4,13.4, 
Q3,M007,2024,17.5,0.8,16.7,18.4, 
Q4,M007,2024,23,0.8,22.2,23.8, 
Q5,M007,2024,39,1.2,37.9,40.2, 
Q1,M007,2023,7.6,0.4,7.2,7.9, 
Q2,M007,2023,12.6,0.6,12,13.2, 
Q3,M007,2023,17.4,0.8,16.6,18.2, 
Q4,M007,2023,23,1,22.1,24, 
Q5,M007,2023,39.4,1.3,38.1,40.7, 
Q1,M008,2024,0,0.5,-0.5,0.4, 
Q2,M008,2024,0.3,0.8,-0.5,1.1, 
Q3,M008,2024,0.1,1.1,-1,1.3, 
Q4,M008,2024,0,1.2,-1.3,1.2, 
Q5,M008,2024,-0.4,1.8,-2.1,1.4, 
R1,M009,2024,3.9,,,,NA
R2,M009,2024,2.5,,,,NA
R3,M009,2024,1.5,,,,NA
R4,M009,2024,0.6,,,,NA
R5,M009,2024,0.5,,,,NA
R1,M009,2023,4,,,,NA
R2,M009,2023,2.6,,,,NA
R3,M009,2023,1.5,,,,NA
R4,M009,2023,0.6,,,,NA
R5,M009,2023,0.5,,,,NA
G1,M010,2024,31.4,0.5,30.9,31.9, 
G1,M010,2023,32,0.7,31.3,32.6, 
G1,M011,2024,-0.5,0.9,-1.4,0.4, 
M1,M012,2024,88,0.7,87.4,88.7, 
M1,M012,2023,88.6,0.8,87.8,89.3, 
M1,M013,2024,-0.5,1.1,-1.6,0.5, 
