MsCode,EstCode,Year,Estimate,SE,LowerCIB,UpperCIB,Flag
MEASA,A_Proprtion,2023,11.7,0.7,11.1,12.4,
MEASB,A_Proprtion,2023,13.7,0.7,13,14.4,
MEASC,A_Proprtion,2023,8.6,0.7,7.9,9.3,
MEASE,A_Proprtion,2023,20.3,0.8,19.5,21,
MEASF,A_Proprtion,2023,24.5,0.8,23.7,25.3,
MEASG,A_Proprtion,2023,16.2,0.7,15.4,16.9,
MEASH,A_Proprtion,2023,10.5,0.6,9.9,11.1,
MEASI,A_Proprtion,2023,3.5,0.5,3,4.1,
MEASJ,A_Proprtion,2023,3.8,0.4,3.5,4.2,
MEASA,A_Proprtion,2024,11.2,0.5,10.8,11.7,
MEASA,B_Number,2024,585.3,24.8,560.5,610.1,
MEASA,C_Population,2024,5204.3, , , ,NA
MEASA,D_Proportion_diff,2024,-0.5,0.9,-1.4,0.4,
MEASB,A_Proprtion,2024,13.7,0.6,13.1,14.3,
MEASB,B_Number,2024,714.2,31.7,682.5,746,
MEASB,C_Population,2024,5204.3, , , ,NA
MEASB,D_Proportion_diff,2024,0,0.9,-0.9,0.9,
MEASC,A_Proprtion,2024,9.4,0.6,8.8,10,
MEASC,B_Number,2024,485.6,32.1,453.4,517.7,
MEASC,C_Population,2024,5181,7.7,5173.3,5188.7,
MEASC,D_Proportion_diff,2024,0.8,0.9,-0.1,1.8,
MEASE,A_Proprtion,2024,19.7,0.6,19.1,20.4,
MEASE,B_Number,2024,1026.3,33.8,992.5,1060.1,
MEASE,C_Population,2024,5204.3, , , ,NA
MEASE,D_Proportion_diff,2024,-0.5,1.1,-1.6,0.5,
MEASF,A_Proprtion,2024,24,0.7,23.3,24.7,
MEASF,B_Number,2024,1247.8,37.7,1210.1,1285.5,
MEASF,C_Population,2024,5204.3, , , ,NA
MEASF,D_Proportion_diff,2024,-0.5,1.1,-1.6,0.6,
MEASG,A_Proprtion,2024,16.3,0.7,15.6,16.9,
MEASG,B_Number,2024,846.7,34,812.7,880.8,
MEASG,C_Population,2024,5204.3, , , ,NA
MEASG,D_Proportion_diff,2024,0.1,0.9,-0.8,1,
MEASH,A_Proprtion,2024,10.8,0.5,10.3,11.3,
MEASH,B_Number,2024,561.5,27.2,534.3,588.7,
MEASH,C_Population,2024,5204.3, , , ,NA
MEASH,D_Proportion_diff,2024,0.3,0.8,-0.5,1,
MEASI,A_Proprtion,2024,3.7,0.4,3.4,4.1,
MEASI,B_Number,2024,193.2,19.2,174,212.4,
MEASI,C_Population,2024,5181,7.7,5173.3,5188.7,
MEASI,D_Proportion_diff,2024,0.2,0.7,-0.5,0.9,
MEASJ,A_Proprtion,2024,4.4,0.4,3.9,4.8,
MEASJ,B_Number,2024,226.6,22.2,204.3,248.8,
MEASJ,C_Population,2024,5181,7.7,5173.3,5188.7,
MEASJ,D_Proportion_diff,2024,0.5,0.6,-0.1,1.1,
