RegCode,MsCode,IncCode,Estimate,RSE,LowerCIB,UpperCIB
R001,M001,I001,103762,5.7,97892,109631
R001,M002,I001,80245,12.4,70279,90212
R001,M003,I001,3.2,10.7,-7.5,13.9
R001,M004,I001,-2,15.4,-17.4,13.4
R002,M001,I001,157171,2.6,153055,161287
R002,M002,I001,127550,4,122405,132694
R002,M003,I001,3.1,4.9,-1.7,8
R002,M004,I001,6.6,6,0.6,12.5
R003,M001,I001,121060,5.1,114943,127177
R003,M002,I001,91899,6.3,86123,97675
R003,M003,I001,6.8,7.2,-0.4,14
R003,M004,I001,-1.4,7.8,-9.2,6.4
R004,M001,I001,123354,4.7,117512,129195
R004,M002,I001,90005,7.2,83568,96443
R004,M003,I001,9.7,6.9,2.9,16.6
R004,M004,I001,6.3,12.7,-6.5,19
R005,M001,I001,121363,7.9,111821,130904
R005,M002,I001,94398,8,86889,101906
R005,M003,I001,5.4,12.1,-6.6,17.5
R005,M004,I001,5.2,15.1,-9.9,20.4
R006,M001,I001,118067,6.7,110133,126000
R006,M002,I001,93411,8.3,85629,101193
R006,M003,I001,-2.4,11.4,-13.8,9.1
R006,M004,I001,5.8,15.5,-9.7,21.2
R007,M001,I001,103387,5.1,98091,108683
R007,M002,I001,85006,8,78244,91769
R007,M003,I001,8.4,8.1,0.3,16.5
R007,M004,I001,13.8,12.8,1,26.6
R008,M001,I001,153817,4.3,147213,160420
R008,M002,I001,121842,4.5,116355,127329
R008,M003,I001,6.1,5.9,0.2,11.9
R008,M004,I001,1.8,7.6,-5.9,9.4
R009,M001,I001,117574,7.1,109170,125978
R009,M002,I001,85858,8.7,78374,93343
R009,M003,I001,15,11.6,3.4,26.5
R009,M004,I001,7.2,16.9,-9.7,24.1
R010,M001,I001,127872,4.1,122668,133076
R010,M002,I001,103435,4.4,98848,108021
R010,M003,I001,10.7,5.8,4.9,16.5
R010,M004,I001,10,8.8,1.2,18.8
R011,M001,I001,125322,6.4,117343,133301
R011,M002,I001,99175,8.1,91190,107160
R011,M003,I001,13.6,9.6,4,23.2
R011,M004,I001,13.2,17.1,-3.9,30.4
R012,M001,I001,105954,7.7,97744,114164
R012,M002,I001,85376,12.1,75007,95745
R012,M003,I001,8.1,10.9,-2.8,19
R012,M004,I001,4,16.4,-12.5,20.4
R013,M001,I001,134599,1.3,132891,136307
R013,M002,I001,105278,1.2,103978,106577
R013,M003,I001,6.5,2.1,4.4,8.6
R013,M004,I001,6,1.9,4.1,8
R001,M001,I002,83742,4.8,79704,87779
R001,M002,I002,69325,9.6,62640,76009
R001,M003,I002,3.6,8.7,-5.1,12.2
R001,M004,I002,0.6,13.2,-12.6,13.7
R002,M001,I002,120515,2.2,117818,123211
R002,M002,I002,101952,3.8,98028,105876
R002,M003,I002,2.8,4.1,-1.2,6.9
R002,M004,I002,4.8,5.3,-0.5,10.1
R003,M001,I002,94838,4.2,90827,98849
R003,M002,I002,76004,5.5,71850,80158
R003,M003,I002,5.6,6,-0.4,11.5
R003,M004,I002,-1.6,7,-8.6,5.4
R004,M001,I002,97001,4.1,93062,100940
R004,M002,I002,76943,6,72330,81555
R004,M003,I002,8.6,5.7,3,14.3
R004,M004,I002,7.5,9.3,-1.8,16.8
R005,M001,I002,95781,6.6,89451,102111
R005,M002,I002,78888,9.2,71658,86119
R005,M003,I002,5.2,10.1,-4.9,15.3
R005,M004,I002,4.7,13,-8.3,17.7
R006,M001,I002,92327,5.8,86937,97717
R006,M002,I002,77140,7.5,71386,82894
R006,M003,I002,-2,9.7,-11.7,7.8
R006,M004,I002,6.1,14.5,-8.4,20.5
R007,M001,I002,83170,4.5,79460,86881
R007,M002,I002,71046,6.2,66659,75433
R007,M003,I002,7.5,7,0.5,14.5
R007,M004,I002,10.2,9.4,0.8,19.5
R008,M001,I002,117589,3.7,113283,121895
R008,M002,I002,97605,4.4,93293,101917
R008,M003,I002,5.2,5.1,0.1,10.3
R008,M004,I002,2.6,7.5,-4.9,10
R009,M001,I002,92304,6.2,86619,97989
R009,M002,I002,73664,7,68471,78856
R009,M003,I002,11.8,9.8,2,21.6
R009,M004,I002,8.2,12.8,-4.6,20.9
R010,M001,I002,99652,3.5,96173,103130
R010,M002,I002,84772,3.6,81717,87827
R010,M003,I002,8.9,4.9,4.1,13.8
R010,M004,I002,8.5,7,1.5,15.5
R011,M001,I002,97977,5.5,92614,103341
R011,M002,I002,81249,6.9,75656,86841
R011,M003,I002,13.3,8.2,5.1,21.5
R011,M004,I002,12,13,-1,25
R012,M001,I002,84252,6.6,78675,89829
R012,M002,I002,72088,7.6,66639,77537
R012,M003,I002,7.6,9.2,-1.6,16.9
R012,M004,I002,5.7,11,-5.4,16.7
R013,M001,I002,104567,1.1,103448,105685
R013,M002,I002,86257,1.2,85204,87309
R013,M003,I002,5.8,1.7,4.1,7.5
R013,M004,I002,5.3,1.9,3.3,7.2
R001,M001,I003,49907,5.5,47169,52646
R001,M002,I003,42707,7.6,39449,45965
R001,M003,I003,0.3,11.9,-11.6,12.2
R001,M004,I003,-1,11.4,-12.4,10.4
R002,M001,I003,64866,2.2,63455,66277
R002,M002,I003,56289,2.5,54871,57706
R002,M003,I003,2.7,4,-1.4,6.7
R002,M004,I003,5.1,4.2,0.9,9.3
R003,M001,I003,55266,4,53068,57464
R003,M002,I003,46577,4.7,44380,48774
R003,M003,I003,6.2,5.8,0.4,12
R003,M004,I003,-0.4,6.8,-7.3,6.4
R004,M001,I003,56039,4,53819,58260
R004,M002,I003,47384,5.8,44628,50141
R004,M003,I003,6.3,5.6,0.6,11.9
R004,M004,I003,11.5,10,1.6,21.5
R005,M001,I003,57002,6.7,53156,60848
R005,M002,I003,49370,6.3,46250,52491
R005,M003,I003,6.7,9.6,-2.9,16.4
R005,M004,I003,6.1,11.4,-5.3,17.6
R006,M001,I003,56936,6,53498,60373
R006,M002,I003,48924,9.3,44372,53476
R006,M003,I003,1.3,9.6,-8.3,10.8
R006,M004,I003,4.5,13.7,-9.2,18.2
R007,M001,I003,49681,4.3,47522,51841
R007,M002,I003,43556,5.7,41084,46028
R007,M003,I003,4.3,7.1,-2.8,11.4
R007,M004,I003,6.2,10.1,-3.9,16.3
R008,M001,I003,68689,3.4,66348,71031
R008,M002,I003,59624,3.2,57717,61531
R008,M003,I003,4.5,4.9,-0.5,9.4
R008,M004,I003,5.2,5.7,-0.5,10.9
R009,M001,I003,57505,6.1,54014,60996
R009,M002,I003,47743,8.4,43747,51739
R009,M003,I003,13.2,9.4,3.8,22.6
R009,M004,I003,6.4,12.3,-5.9,18.7
R010,M001,I003,58692,3.1,56898,60486
R010,M002,I003,51245,3.4,49498,52992
R010,M003,I003,8.1,4.5,3.6,12.6
R010,M004,I003,8,5.8,2.3,13.8
R011,M001,I003,58785,5.4,55605,61965
R011,M002,I003,50752,7.8,46792,54712
R011,M003,I003,11.5,8,3.5,19.4
R011,M004,I003,12.2,12.8,-0.6,25
R012,M001,I003,53404,5.8,50294,56515
R012,M002,I003,48116,10.9,42873,53360
R012,M003,I003,9.5,9,0.5,18.5
R012,M004,I003,11.7,15.1,-3.4,26.7
R013,M001,I003,59972,1,59352,60592
R013,M002,I003,51597,1,51057,52138
R013,M003,I003,5.3,1.7,3.7,7
R013,M004,I003,6.1,1.7,4.4,7.9
R001,M001,I004,39268,6.1,36884,41651
R001,M002,I004,33684,8,30991,36376
R001,M003,I004,-0.4,14.8,-15.2,14.4
R001,M004,I004,6.2,12.4,-6.2,18.6
R002,M001,I004,48651,2.7,47331,49971
R002,M002,I004,40358,3.2,39071,41645
R002,M003,I004,2.1,5,-2.9,7.1
R002,M004,I004,2.9,5.4,-2.5,8.2
R003,M001,I004,42619,4.6,40669,44569
R003,M002,I004,34825,4.9,33118,36531
R003,M003,I004,6.8,7.4,-0.5,14.2
R003,M004,I004,-1.4,7,-8.4,5.6
R004,M001,I004,43835,4.8,41730,45939
R004,M002,I004,35790,5.7,33742,37839
R004,M003,I004,5.3,6.5,-1.2,11.8
R004,M004,I004,8.1,11.1,-3.1,19.2
R005,M001,I004,44855,8.7,40951,48759
R005,M002,I004,38076,6.4,35645,40507
R005,M003,I004,4.1,12.1,-8,16.2
R005,M004,I004,3.4,10.2,-6.8,13.5
R006,M001,I004,45519,7.8,41964,49074
R006,M002,I004,36555,8.5,33465,39645
R006,M003,I004,0,11.7,-11.6,11.7
R006,M004,I004,1.8,12.2,-10.3,14
R007,M001,I004,39080,5.2,37051,41109
R007,M002,I004,33037,5.7,31151,34922
R007,M003,I004,3.4,8.3,-4.9,11.7
R007,M004,I004,4.5,11.1,-6.6,15.6
R008,M001,I004,52565,4.4,50253,54877
R008,M002,I004,43390,3.8,41740,45040
R008,M003,I004,3.3,6.1,-2.8,9.4
R008,M004,I004,3.2,6.8,-3.7,10
R009,M001,I004,46318,7.4,42885,49750
R009,M002,I004,36036,9.2,32736,39335
R009,M003,I004,13.4,11.6,1.8,24.9
R009,M004,I004,2.7,12.5,-9.8,15.2
R010,M001,I004,45857,3.8,44126,47588
R010,M002,I004,37974,3.8,36516,39432
R010,M003,I004,7.9,5.9,2,13.8
R010,M004,I004,4.7,6.5,-1.8,11.2
R011,M001,I004,45948,6.5,42948,48948
R011,M002,I004,37942,8.4,34739,41145
R011,M003,I004,9.1,9.5,-0.3,18.6
R011,M004,I004,6.3,14.2,-7.9,20.6
R012,M001,I004,42601,7.5,39406,45796
R012,M002,I004,37344,9.2,33893,40796
R012,M003,I004,9.5,10.8,-1.2,20.3
R012,M004,I004,11.9,16.9,-5,28.9
R013,M001,I004,46218,1.3,45621,46816
R013,M002,I004,38087,1.1,37675,38499
R013,M003,I004,4.7,2,2.6,6.7
R013,M004,I004,4.1,1.8,2.3,5.9
