QuintCode,HdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q001,H001A,1034,3.3,1000.2,1067.8, 
Q002,H001A,1049.2,3.4,1013.6,1084.7, 
Q003,H001A,1040.6,4.2,997.2,1084.1, 
Q004,H001A,1040.8,3.3,1006.2,1075.3, 
Q005,H001A,1039.7,3.4,1004.5,1075, 
Q006,H001A,5204.3, , , ,NA
Q007,H001A,53428,1.2,52761,54095, 
Q008,H001A,60982,1.1,60281,61683, 
Q001,H002A,215,3.6,207.2,222.8, 
Q002,H002A,81,6.5,75.8,86.2, 
Q003,H002A,72.6,7.7,67,78.2, 
Q004,H002A,57.3,9.7,51.7,62.9, 
Q005,H002A,47.3,10.1,42.5,52.1, 
Q006,H002A,473.2,1.6,465.8,480.5, 
Q007,H002A,35602,3.3,34409,36794, 
Q008,H002A,47068,2.9,45721,48416, 
Q001,H002B,288.8,4.9,274.5,303, 
Q002,H002B,234.3,6.6,219,249.7, 
Q003,H002B,207.5,6.3,194.6,220.5, 
Q004,H002B,242.6,5.3,229.6,255.5, 
Q005,H002B,345.1,4.9,328.1,362.1, 
Q006,H002B,1318.3,1.3,1301.6,1334.9, 
Q007,H002B,55828,1.9,54779,56876, 
Q008,H002B,66335,2.1,64943,67727, 
Q001,H002C,133.8,10.2,120.2,147.4, 
Q002,H002C,200.6,8.9,182.6,218.5, 
Q003,H002C,203.3,9.6,183.9,222.8, 
Q004,H002C,251.7,7,234.2,269.2, 
Q005,H002C,248.3,7.4,230.1,266.6, 
Q006,H002C,1037.7,3.8,998.6,1076.8, 
Q007,H002C,59770,2.7,58167,61372, 
Q008,H002C,65295,2.2,63877,66714, 
Q001,H002D,158.5,9.2,143.9,173.1, 
Q002,H002D,236.8,9,215.5,258.1, 
Q003,H002D,285.7,9.8,257.6,313.8, 
Q004,H002D,292.3,8.5,267.4,317.3, 
Q005,H002D,281.6,9.6,254.5,308.6, 
Q006,H002D,1254.9,3.2,1214.6,1295.3, 
Q007,H002D,57947,2.1,56755,59139, 
Q008,H002D,64525,2.7,62767,66283, 
Q001,H002E,237.9,10.4,213.1,262.8, 
Q002,H002E,296.5,9,269.7,323.3, 
Q003,H002E,271.5,10.2,243.7,299.2, 
Q004,H002E,196.9,10.8,175.7,218.1, 
Q005,H002E,117.4,14.7,100.2,134.7, 
Q006,H002E,1120.2,3.4,1081.8,1158.7, 
Q007,H002E,47430,3.6,45733,49127, 
Q008,H002E,52594,3.2,50900,54288, 
Q001,H003A,226.1,4.9,215.1,237.2, 
Q002,H003A,154.6,8.5,141.5,167.7, 
Q003,H003A,150.6,7.3,139.5,161.6, 
Q004,H003A,194.4,5.6,183.4,205.4, 
Q005,H003A,309.7,5.5,292.8,326.7, 
Q006,H003A,1035.5,1.8,1016.3,1054.6, 
Q007,H003A,59405,2.4,57967,60843, 
Q008,H003A,70149,2.3,68532,71766, 
Q001,H003B,42.5,20.2,33.9,51.1, 
Q002,H003B,72.7,14.9,61.8,83.5, 
Q003,H003B,83.9,14,72.2,95.6, 
Q004,H003B,98.6,11.6,87.2,110.1, 
Q005,H003B,95.8,13.6,82.7,108.8, 
Q006,H003B,393.5,5.2,373,414, 
Q007,H003B,60691,3.3,58681,62701, 
Q008,H003B,67875,3.6,65429,70321, 
Q001,H003C,89.7,13.5,77.6,101.8, 
Q002,H003C,134.8,12.3,118.2,151.4, 
Q003,H003C,165.2,10.5,147.9,182.5, 
Q004,H003C,145.6,11.9,128.3,162.9, 
Q005,H003C,138.9,12.7,121.3,156.6, 
Q006,H003C,674.2,4.2,645.7,702.7, 
Q007,H003C,56362,2.7,54823,57901, 
Q008,H003C,64024,4.1,61372,66676, 
Q001,H003D,99.4,16.3,83.1,115.6, 
Q002,H003D,109.1,14.7,93,125.2, 
Q003,H003D,72.4,20.5,57.6,87.3, 
Q004,H003D,43.8,24.2,33.2,54.4, 
Q005,H003D,36.3,29.2,25.7,46.9, 
Q006,H003D,361.1,7.4,334.2,387.9, 
Q007,H003D,41760,5.3,39551,43968, 
Q008,H003D,51124,8.3,46898,55351, 
Q001,H003E,79.1,19.9,63.3,94.8, 
Q002,H003E,114.3,15.4,96.7,131.9, 
Q003,H003E,142.4,13.1,123.8,161, 
Q004,H003E,171.6,10.9,152.9,190.2, 
Q005,H003E,182.9,11.8,161.4,204.4, 
Q006,H003E,690.3,4.8,657.4,723.1, 
Q007,H003E,62337,3.4,60191,64482, 
