MsCode,IncCode,Year,Estimate,RSE,LowerCIB,UpperCIB,Flag
M001,V001,2019,68861,1.5,67857,69865,
M001,V002,2019,15340,8.7,13999,16680,
M001,V003,2019,3841,11.4,3401,4280,
M001,V004,2019,7150,1.2,7067,7232,
M001,V005,2019,4697,2.3,4590,4804,
M001,V006,2019,4104,6.9,3822,4386,
M001,V007,2019,103991,1.6,102352,105631,
M001,V008,2019,21940,2,21506,22375,
M001,V009,2019,83406,1.5,82136,84677,
M001,V010,2019,3269,16.3,2736,3803,
M002,V001,2019,52948,2.6,51549,54348,
M002,V002,2019,0, ,,,NA
M002,V003,2019,0, ,,,NA
M002,V004,2019,0, ,,,NA
M002,V005,2019,6,312.8,-13,25,
M002,V006,2019,0, ,,,NA
M002,V007,2019,82536,1.2,81518,83554,
M002,V008,2019,14423,1.9,14156,14690,
M002,V009,2019,70197,1.1,69424,70970,
M002,V010,2019,0, ,,,NA
M003,V001,2019, , , , ,NA
M003,V002,2019, , , , ,NA
M003,V003,2019, , , , ,NA
M003,V004,2019, , , , ,NA
M003,V005,2019, , , , ,NA
M003,V006,2019, , , , ,NA
M003,V007,2019, , , , ,NA
M003,V008,2019, , , , ,NA
M003,V009,2019, , , , ,NA
M003,V010,2019, , , , ,NA
M004,V001,2019, , , , ,NA
M004,V002,2019, , , , ,NA
M004,V003,2019, , , , ,NA
M004,V004,2019, , , , ,NA
M004,V005,2019, , , , ,NA
M004,V006,2019, , , , ,NA
M004,V007,2019, , , , ,NA
M004,V008,2019, , , , ,NA
M004,V009,2019, , , , ,NA
M004,V010,2019, , , , ,NA
M001,V001,2020,71072,1.6,69928,72216,
M001,V002,2020,16794,7,15614,17973,
M001,V003,2020,3404,6.8,3171,3636,
M001,V004,2020,7416,1,7338,7494,
M001,V005,2020,4812,2.8,4678,4945,
M001,V006,2020,2204,7.2,2046,2362,
M001,V007,2020,105701,1.3,104296,107105,
M001,V008,2020,22456,2,22009,22902,
M001,V009,2020,84648,1.1,83682,85613,
M001,V010,2020,1532,18.3,1251,1813,
M002,V001,2020,55216,2.6,53771,56661,
M002,V002,2020,0, ,,,NA
M002,V003,2020,0, ,,,NA
M002,V004,2020,0, ,,,NA
M002,V005,2020,0, ,,,NA
M002,V006,2020,0, ,-518,518,NA
M002,V007,2020,84539,1.6,83227,85851,
M002,V008,2020,14857,2.2,14528,15185,
M002,V009,2020,71494,1.4,70501,72487,
