QuintCode,PdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q001,P001A,1034,3.3,1000.2,1067.8, 
Q002,P001A,1049.2,3.4,1013.6,1084.7, 
Q003,P001A,1040.6,4.2,997.2,1084.1, 
Q004,P001A,1040.8,3.3,1006.2,1075.3, 
Q005,P001A,1039.7,3.4,1004.5,1075, 
Q006,P001A,5204.3, , , ,NA
Q007,P001A,53428,1.2,52761,54095, 
Q008,P001A,60982,1.1,60281,61683, 
Q001,P002A,487,3.9,467.9,506.2, 
Q002,P002A,496.7,3.7,478.6,514.9, 
Q003,P002A,513.2,4.8,488.3,538, 
Q004,P002A,531.5,3.7,512,550.9, 
Q005,P002A,543.1,3.7,523.2,563, 
Q006,P002A,2571.4,0.6,2555.9,2586.9, 
Q007,P002A,54891,1.5,54086,55697, 
Q008,P002A,62131,1.2,61381,62880, 
Q001,P002B,545.1,3.7,525,565.2, 
Q002,P002B,549.6,4,527.7,571.5, 
Q003,P002B,524.9,4.3,502.4,547.3, 
Q004,P002B,506.9,4,486.6,527.2, 
Q005,P002B,494.8,3.9,475.7,514, 
Q006,P002B,2621.3,0.6,2605.7,2636.9, 
Q007,P002B,52132,1.4,51403,52861, 
Q008,P002B,59869,1.2,59129,60609, 
Q001,P002C,1.9,55.1,0.9,3, 
Q002,P002C,2.9,40.3,1.7,4, 
Q003,P002C,2.6,47,1.4,3.8, 
Q004,P002C,2.4,46.4,1.3,3.5, 
Q005,P002C,1.8,76,0.4,3.2, 
Q006,P002C,11.6,22.1,9,14.1, 
Q007,P002C,53420,12.1,46979,59860, 
Q008,P002C,57696,12.5,50467,64925, 
Q001,P003A,211.6,6.7,197.5,225.7, 
Q002,P003A,256.3,5.4,242.5,270, 
Q003,P003A,212.7,6.5,198.9,226.6, 
Q004,P003A,159.4,7.5,147.4,171.3, 
Q005,P003A,133.2,8.2,122.2,144.1, 
Q006,P003A,973.1, , , ,NA
Q007,P003A,47036,2.3,45971,48100, 
Q008,P003A,54679,2.4,53374,55984, 
Q001,P003B,64.8,9.5,58.7,70.9, 
Q002,P003B,79.5,9.3,72.1,86.9, 
Q003,P003B,71,9.5,64.2,77.8, 
Q004,P003B,59.9,10,53.9,66, 
Q005,P003B,48.1,12.2,42.3,54, 
Q006,P003B,323.3, , , ,NA
Q007,P003B,49622,3.5,47863,51381, 
Q008,P003B,57232,3.6,55163,59302, 
Q001,P003C,50,19.5,40.3,59.7, 
Q002,P003C,68.1,11.8,60.1,76.2, 
Q003,P003C,71.5,11.5,63.3,79.7, 
Q004,P003C,80.9,9,73.6,88.2, 
Q005,P003C,52.3,13.6,45.2,59.5, 
Q006,P003C,322.9, , , ,NA
Q007,P003C,55767,4,53517,58018, 
Q008,P003C,58161,3.3,56260,60063, 
Q001,P003D,32.6,14.1,28,37.2, 
Q002,P003D,60.9,11.1,54.1,67.7, 
Q003,P003D,75.8,9.8,68.4,83.3, 
Q004,P003D,101.7,8.4,93.1,110.3, 
Q005,P003D,81.7,9.2,74.2,89.3, 
Q006,P003D,352.7, , , ,NA
Q007,P003D,62626,2.7,60951,64301, 
Q008,P003D,64890,2.1,63504,66276, 
Q001,P003E,51.7,10.9,46.1,57.3, 
